year,unit_id,name,unit_type,admin_parent,population,urban_pop,rural_pop,urban_share,area_km2,density,rail_length_km,rail_density_km_1000,rail_segments_count,population_source_year,population_source_unit,population_basis,population_quality,population_method,population_note,population_source,population_reconstruction_version,population_recalc_note,urban_pop_method,urban_pop_source,merged_city_names_v114
1765,adm_1765_002,Мангазейский уезд,спорная территория,Зона спорной принадлежности,,,,,123539.026,,0,0,0,,,,,,,,,,,,
1765,adm_1765_003,Берёзовский уезд,уезд,Тобольская провинция,,,,,531182.331,,0,0,0,,,,,,,,,,,,
1765,adm_1765_004,Сургутский уезд,уезд,Тобольская провинция,,,,,353935.337,,0,0,0,,,,,,,,,,,,
1765,adm_1765_005,Зона неустойчивого контроля,АТЕ,Сибирская губерния,,,,,5410.45,,0,0,0,,,,,,,,,,,,
1765,adm_1765_006,Кузнецкий уезд,уезд,Тобольская провинция,,,,,193927.366,,0,0,0,,,,,,,,,,,,
1765,adm_1765_007,Ялуторовский дистрикт,АТЕ,Тобольская провинция,,,,,58989.251,,0,0,0,,,,,,,,,,,,
1765,adm_1765_008,Исетская провинция,провинция,Оренбургская губерния,,,,,43481.416,,0,0,0,,,,,,,,,,,,
1765,adm_1765_009,Красноясркий уезд,уезд,Енисейская провинция,,,,,148336.694,,0,0,0,,,,,,,,,,,,
1765,adm_1765_010,Екатеринбургское ведомство,горнозаводское ведомство,Тобольская провинция,,,,,52630.906,,0,0,0,,,,,,,,,,,,
1765,adm_1765_011,Тарский уезд,уезд,Тобольская провинция,,,,,427005.884,,0,0,0,,,,,,,,,,,,
1765,adm_1765_012,Томский уезд,уезд,Тобольская провинция,,,,,205109.206,,0,0,0,,,,,,,,,,,,
1765,adm_1765_013,Туринский уезд,уезд,Тобольская провинция,,,,,11596.271,,0,0,0,,,,,,,,,,,,
1765,adm_1765_014,Верхотурский уезд,уезд,Тобольская провинция,,,,,34877.127,,0,0,0,,,,,,,,,,,,
1765,adm_1765_015,Енисейский уезд,уезд,Енисейская провинция,,,,,392990.182,,0,0,0,,,,,,,,,,,,
